유형,직업,호불호
ESTP,펀드 매니저,
ENFJ,변호사,
INFP,승무원,
INFP,교사,
ESFP,연구 개발,
ENFP,디자이너,
ESTJ,홍보,
ESFJ,개발자,불호
ENTJ,프로그램 기획,
ESFP,서비스직,
ENTP,개발자,
ISTJ,엔지니어,
INTP,엔지니어,
ENTP,서비스 기획,
INTP,개발자,
INTP,UI/UX 디자이너,
INTP,UI/UX 디자이너,
ISTJ,시스템 엔지니어,
ENFJ,"엔지니어
관리자
개인사업",
INTP,"엔지니어
개발자",
ESTP,교사,
IXFJ,초등 교사,
ENFP,디자이너,
INTP,고객 경험 관리,
ENFP,마케팅,
ISTP,기획자,
INTP,기획자,
ISFJ,재무,
ENFJ,기획자,
INTJ,개발자,
INFP,데이터 사이언스,
INTP,기술직 공무원,
IXFP,공무원,
INFP,교사,
ENTP,마케팅,
INFP,PR,
INTP,소프트웨어 개발,
ENFP,연구원,
INTJ,PM,
INFP,개발자,호
ENTP,마케팅,
ISTJ,교사,
ESTJ,투자,
ESTP,공무원,
ENTJ,서비스 기획,
ENTP,공무원,불호
INTP,개발자,
ISFP,초등 교사,
ENFJ,공무원,
ESTP,엔지니어,
ENFP,마케팅,
ISFP,공무원,
ISTJ,"공무원
민원응대",불호
INTJ,엔지니어,불호
ISFJ,초등 교사,
ESFJ,"프로젝트 운영
기획",호
INFJ,공무원,
INTP,공무원,불호
ENTJ,BX 디자이너,
ENTJ,마케터,
ENFP,공무원,
ISTJ,개발자,
ENFP,감사,
ENTP,개발자,
INTJ,승무원,
ESFP,영양사,
INFJ,개발자,
ISFP,기획자,
ISTJ,서비스직,
ENTP,브랜드 기획,
ENTJ,재무 전략,
ENFJ,개발자,
ISTJ,감사,
ISFP,승무원,
ESFJ,의료직,
ENFP,승무원,
INTJ,엔지니어,
ENFP,서비스직,
ENTJ,상품 기획,
ESTP,간호사,
ESTP,의료직,불호
INFJ,엔지니어,
ISFP,간호사,
INFP,승무원,
ESTJ,회계,
ISFJ,사무직,
ISTP,공무원,
ISFP,회계,
INXJ,엔지니어,
ISTP,엔지니어,
ESTJ,경찰,
ENTP,경영 컨설팅,
INTP,엔지니어,
ISTP,사무직,불호
